Search Name,Band Name,URL,Match Type
Adanedhel,No match found,,none
Adelard,No match found,,none
Aderthad,No match found,,none
Adunaic,No match found,,none
Adunakhdrlorti,No match found,,none
Adunakhor,No match found,,none
Adurant,No match found,,none
Adurantthe,No match found,,none
Aeglos,Aeglos  ,https://www.metal-archives.com/bands/Aeglos/3540381785,exact
Aegnor,Aegnor  ,https://www.metal-archives.com/bands/Aegnor/3540274370,exact
Aelinuial,No match found,,none
Aeluin,No match found,,none
Aenarname,No match found,,none
Aerandir,No match found,,none
Aerin,No match found,,none
Afterborn,No match found,,none
Aftercomers,No match found,,none
Agamaen,No match found,,none
Agarmen,No match found,,none
Agarwaen,Agarwaen  ,https://www.metal-archives.com/bands/Agarwaen/3540363807,exact
Agarwaen,Agarwaen  ,https://www.metal-archives.com/bands/Agarwaen/96511,exact
Agarwaen,Agarwaen  ,https://www.metal-archives.com/bands/Agarwaen/12780,exact
Agarwaen,Agarwaen Dagorlad  ,https://www.metal-archives.com/bands/Agarwaen_Dagorlad/112946,exact
Aglareb,No match found,,none
Aglarni,No match found,,none
Aglarond,Aglarond  ,https://www.metal-archives.com/bands/Aglarond/6413,exact
Aglon,No match found,,none
Agtarond,No match found,,none
Aiglos,No match found,,none
Ainulindale,Ainulindalë (a.k.a. Ainulindale) ,https://www.metal-archives.com/bands/Ainulindal%C3%AB/3540497907,exact
Ainur,Ainur  ,https://www.metal-archives.com/bands/Ainur/3540307961,exact
Ainur,Ainur  ,https://www.metal-archives.com/bands/Ainur/3540314971,exact
Ainursee,No match found,,none
Aioi,No match found,,none
Aiya,No match found,,none
Akallabeth,Akallabeth  ,https://www.metal-archives.com/bands/Akallabeth/116171,exact
Akallabeth,Akallabeth  ,https://www.metal-archives.com/bands/Akallabeth/48428,exact
Akallabeth,Akallabêth  ,https://www.metal-archives.com/bands/Akallab%C3%AAth/10392,exact
Akallabeth,Akallabêth  ,https://www.metal-archives.com/bands/Akallab%C3%AAth/123950,exact
Alatariel,No match found,,none
Alcarinque,No match found,,none
Alcarondas,No match found,,none
Aldalome,No match found,,none
Aldaron,Aldaron  ,https://www.metal-archives.com/bands/Aldaron/61896,exact
Aldor,Aldor (a.k.a. Алдор) ,https://www.metal-archives.com/bands/Aldor/3540401441,exact
Aldudenie,No match found,,none
Alkarinque,No match found,,none
Almaren,No match found,,none
Alqualonde,No match found,,none
Amandil,No match found,,none
Amanyar,No match found,,none
Amarie,No match found,,none
Ambarmetta,No match found,,none
Ambarona,No match found,,none
Amlach,No match found,,none
Amoedi,No match found,,none
Amoediad,No match found,,none
Amras,Amras Numenesse  ,https://www.metal-archives.com/bands/Amras_Numenesse/3540489749,exact
Amrod,No match found,,none
Amroth,Dol Amroth  ,https://www.metal-archives.com/bands/Dol_Amroth/4846,exact
Anach,No match found,,none
Anadune,No match found,,none
Anar,Anar  ,https://www.metal-archives.com/bands/Anar/3540340576,exact
Anarhma,No match found,,none
Anarion,Anarion  ,https://www.metal-archives.com/bands/Anarion/2260,exact
Anarion,Anariõn  ,https://www.metal-archives.com/bands/Anari%C3%B5n/3540282646,exact
Anarrima,No match found,,none
Anborn,No match found,,none
Anbrion,No match found,,none
Ancalagon,Ancalagon (a.k.a. Ancalagon EC) ,https://www.metal-archives.com/bands/Ancalagon/3540491463,exact
Ancalagon,Ancalagon  ,https://www.metal-archives.com/bands/Ancalagon/2453,exact
Ancalagon,Ancalagon  ,https://www.metal-archives.com/bands/Ancalagon/6950,exact
Ancalagon,Ancalagon  ,https://www.metal-archives.com/bands/Ancalagon/3540394359,exact
Ancalagon,Ancalagon  ,https://www.metal-archives.com/bands/Ancalagon/3540414018,exact
Ancalagon,Ancalagon  ,https://www.metal-archives.com/bands/Ancalagon/3540428983,exact
Ancalima,No match found,,none
Andave,No match found,,none
Andnl,No match found,,none
Andram,No match found,,none
Andril,No match found,,none
Androth,No match found,,none
Anduin,Ethir Anduin  ,https://www.metal-archives.com/bands/Ethir_Anduin/3540322798,exact
Andunie,No match found,,none
Anduril,Anduril (a.k.a. 重铸之剑) ,https://www.metal-archives.com/bands/Anduril/3540432607,exact
Anduril,Anduril  ,https://www.metal-archives.com/bands/Anduril/3540492064,exact
Anfalas,No match found,,none
Anfauglir,Anfauglir  ,https://www.metal-archives.com/bands/Anfauglir/3540535157,exact
Anfauglir,Anfauglir  ,https://www.metal-archives.com/bands/Anfauglir/3540259884,exact
Anfauglira,No match found,,none
Anfauglith,Anfauglith  ,https://www.metal-archives.com/bands/Anfauglith/3540288961,exact
Anfauglith,Anfauglith  ,https://www.metal-archives.com/bands/Anfauglith/3540505024,exact
Angainor,Angainor  ,https://www.metal-archives.com/bands/Angainor/3540535005,exact
Angainor,Angainor  ,https://www.metal-archives.com/bands/Angainor/3540519872,exact
Angamando,No match found,,none
Angarato,No match found,,none
Angband,Angband  ,https://www.metal-archives.com/bands/Angband/7623,exact
Angband,Angband  ,https://www.metal-archives.com/bands/Angband/84709,exact
Angband,Angband  ,https://www.metal-archives.com/bands/Angband/3540261874,exact
Angband,Angband  ,https://www.metal-archives.com/bands/Angband/3540551053,exact
Angbandqjenya,No match found,,none
Angbor,No match found,,none
Angerthas,No match found,,none
Anghabar,No match found,,none
Anglachel,Anglachel  ,https://www.metal-archives.com/bands/Anglachel/28908,exact
Anglachel,Anglachel  ,https://www.metal-archives.com/bands/Anglachel/3540426415,exact
Anglosaxon,No match found,,none
Angmar,Angmar  ,https://www.metal-archives.com/bands/Angmar/120152,exact
Angmar,Angmar  ,https://www.metal-archives.com/bands/Angmar/9501,exact
Angmar,Angmar  ,https://www.metal-archives.com/bands/Angmar/36310,exact
Angmar,Angmar  ,https://www.metal-archives.com/bands/Angmar/125726,exact
Angmar,Angmar  ,https://www.metal-archives.com/bands/Angmar/3540347930,exact
Angmar,Aran Angmar  ,https://www.metal-archives.com/bands/Aran_Angmar/3540480039,exact
Angmar,Ered Angmar  ,https://www.metal-archives.com/bands/Ered_Angmar/3540464704,exact
Angmar,Crown of Angmar  ,https://www.metal-archives.com/bands/Crown_of_Angmar/3540274158,exact
Angmar,Kingdom of Angmar  ,https://www.metal-archives.com/bands/Kingdom_of_Angmar/3540521819,exact
Angmar,Lord of Angmar  ,https://www.metal-archives.com/bands/Lord_of_Angmar/3540533657,exact
Angmar,Throne of Angmar  ,https://www.metal-archives.com/bands/Throne_of_Angmar/3540523987,exact
Angmar,Eikthyrnir (a.k.a. Angmar) ,https://www.metal-archives.com/bands/Eikthyrnir/30592,exact
Angren,Carach Angren  ,https://www.metal-archives.com/bands/Carach_Angren/28907,exact
Angrenost,Angrenost  ,https://www.metal-archives.com/bands/Angrenost/3540441120,exact
Angrenost,Angrenost  ,https://www.metal-archives.com/bands/Angrenost/76186,exact
Angrenost,Angrenost  ,https://www.metal-archives.com/bands/Angrenost/3989,exact
Angrim,No match found,,none
Angrod,No match found,,none
Anguirel,No match found,,none
Annael,No match found,,none
Annatar,Annatar  ,https://www.metal-archives.com/bands/Annatar/12338,exact
Annminas,No match found,,none
Annon,Annon Vin  ,https://www.metal-archives.com/bands/Annon_Vin/539,exact
Annon,Orna Annon  ,https://www.metal-archives.com/bands/Orna_Annon/33848,exact
Annonin,No match found,,none
Annoningelydh,No match found,,none
Annuminas,No match found,,none
Annun,No match found,,none
Annyn,No match found,,none
Anor,No match found,,none
Anorien,No match found,,none
Anurien,No match found,,none
Apanonar,No match found,,none
Appledore,No match found,,none
Aradan,No match found,,none
Aragom,No match found,,none
Aragorn,Aragorn (a.k.a. Aragon) ,https://www.metal-archives.com/bands/Aragorn/6318,exact
Aragorn,Aragorn (a.k.a. Aragon) ,https://www.metal-archives.com/bands/Aragorn/33119,exact
Aragorn,Aragorn (a.k.a. Aragon) ,https://www.metal-archives.com/bands/Aragorn/105853,exact
Aragorn,Aragorn (a.k.a. Aragon) ,https://www.metal-archives.com/bands/Aragorn/3335,exact
Aragorn,Aragorn (a.k.a. Aragon) ,https://www.metal-archives.com/bands/Aragorn/3540533001,exact
Aragorn,Aragon (a.k.a. Aragorn) ,https://www.metal-archives.com/bands/Aragon/3540454828,exact
Aragorn,Aragon (a.k.a. Aragorn) ,https://www.metal-archives.com/bands/Aragon/12750,exact
Aragorn,Aragon (a.k.a. Aragorn) ,https://www.metal-archives.com/bands/Aragon/83109,exact
Aragorn,Aragon (a.k.a. Aragorn) ,https://www.metal-archives.com/bands/Aragon/115112,exact
Aragorn,Aragon (a.k.a. Aragorn) ,https://www.metal-archives.com/bands/Aragon/3080,exact
Araman,No match found,,none
Aranel,No match found,,none
