Search Name,Band Name,URL,Genre,Themes,Country,Location,Status,Formed
Abari,No match found,,,,,,,
Abattârik,No match found,,,,,,,
Abonnen,No match found,,,,,,,
Acas,No match found,,,,,,,
Accursed Years,Accursed Years,https://www.metal-archives.com/bands/Accursed_Years/3540405650,Melodic Death/Black/Folk Metal,"Folklore, History, Social issues",United Kingdom,"Weymouth, Dorset, England",N/A,2013
Acharn,No match found,,,,,,,
Acocks Green,No match found,,,,,,,
Acta Senatus,No match found,,,,,,,
Adalbert Bolger,No match found,,,,,,,
Adaldrida Bolger,No match found,,,,,,,
Adaldrida Brandybuck,No match found,,,,,,,
Adalgar Bolger,No match found,,,,,,,
Adalgar Oldbank,No match found,,,,,,,
Adalgrim Took,No match found,,,,,,,
Adamant Chenni,No match found,,,,,,,
Adamanta Chubb,No match found,,,,,,,
Adamanta Took,No match found,,,,,,,
Adan,No match found,,,,,,,
Adanedhel,No match found,,,,,,,
Adanel,No match found,,,,,,,
Adaneth,No match found,,,,,,,
Adaptations,No match found,,,,,,,
Adar,Adar,https://www.metal-archives.com/bands/Adar/3540281265,Black Metal,N/A,United States,"Littleton, Colorado",N/A,2009
Adar,Adar,https://www.metal-archives.com/bands/Adar/47756,Death/Black Metal,N/A,United States,"Rochester, New York",N/A,1994
Adelard,No match found,,,,,,,
Adelard Took,No match found,,,,,,,
Aderthad,No match found,,,,,,,
Adorn,Adorn,https://www.metal-archives.com/bands/Adorn/3540263221,Thrash/Groove Metal/Hardcore,N/A,Germany,"Kassel, Hesse",N/A,N/A
Adrahil,No match found,,,,,,,
Adrift,Adrift,https://www.metal-archives.com/bands/Adrift/5019,Heavy Metal,N/A,Belgium,N/A,N/A,1994
Adrift,Adrift,https://www.metal-archives.com/bands/Adrift/78476,Black Metal,Hate,Switzerland,Bern,N/A,N/A
Adrift,Adrift,https://www.metal-archives.com/bands/Adrift/8723,Progressive Death Metal,N/A,United States,"Du Quoin, Illinois",N/A,N/A
Adu,No match found,,,,,,,
Aduial,No match found,,,,,,,
Adun,No match found,,,,,,,
Adunaic,No match found,,,,,,,
Adunakhdrlorti,No match found,,,,,,,
Adunakhor,No match found,,,,,,,
Adunaroth,No match found,,,,,,,
Aduni,No match found,,,,,,,
Adurant,No match found,,,,,,,
Adurantthe,No match found,,,,,,,
Ae Adar Nín,No match found,,,,,,,
Aear,No match found,,,,,,,
Aearon,No match found,,,,,,,
Aefwine,No match found,,,,,,,
Aeg,No match found,,,,,,,
Aeglos,Aeglos,https://www.metal-archives.com/bands/Aeglos/3540381785,Heavy/Death Metal,"Introspection, Rebellion, Fantasy",Germany,"Offenburg, Baden-Württemberg",N/A,2010
Aegnor,Aegnor,https://www.metal-archives.com/bands/Aegnor/3540274370,Black Metal,"Ancient civilization, Myths, Folktales, Darkness",Türkiye,"Istanbul (early); Prague, Czechia (later)",N/A,2005
Ael,No match found,,,,,,,
Aelfheah,No match found,,,,,,,
Aelfwine,No match found,,,,,,,
Aelin,No match found,,,,,,,
Aelin-uial,No match found,,,,,,,
Aelinuial,No match found,,,,,,,
Aeluin,No match found,,,,,,,
Aen,No match found,,,,,,,
Aenarname,No match found,,,,,,,
Aer,No match found,,,,,,,
Aerandir,No match found,,,,,,,
Aerendil,No match found,,,,,,,
Aerennel,No match found,,,,,,,
Aerie,No match found,,,,,,,
Aerin,No match found,,,,,,,
Aerlinn,No match found,,,,,,,
Aew,No match found,,,,,,,
After-born,No match found,,,,,,,
Afterborn,No match found,,,,,,,
Aftercomers,No match found,,,,,,,
Afterlithe,No match found,,,,,,,
Afteryule,No match found,,,,,,,
Agaldor,No match found,,,,,,,
Agamaen,No match found,,,,,,,
Agandaur,No match found,,,,,,,
Agar,No match found,,,,,,,
Agarmen,No match found,,,,,,,
Agarwaen,Agarwaen,https://www.metal-archives.com/bands/Agarwaen/3540363807,Melodic Black Metal,Horror,Finland,"Kouvola, Kymenlaakso (early); Helsinki, Uusimaa (later)",N/A,2006
Agarwaen,Agarwaen,https://www.metal-archives.com/bands/Agarwaen/96511,Melodic Death/Black Metal,Criticism of society and religion,Switzerland,"Bülach, Zürich",N/A,2002
Agarwaen,Agarwaen,https://www.metal-archives.com/bands/Agarwaen/12780,Black Metal,"Occult, works of Tolkien",United States,N/A,N/A,1996
Agathor,No match found,,,,,,,
Agathurus,No match found,,,,,,,
Agh,No match found,,,,,,,
Aghan,No match found,,,,,,,
Aglab,No match found,,,,,,,
Aglahad,No match found,,,,,,,
Aglar,Aglar,https://www.metal-archives.com/bands/Aglar/3540278237,Power Metal,N/A,Uruguay,Montevideo,N/A,2003
Aglareb,No match found,,,,,,,
Aglarni,No match found,,,,,,,
Aglarond,Aglarond,https://www.metal-archives.com/bands/Aglarond/6413,Gothic/Doom Metal,"Darkness, Sadness, Death, Love",Mexico,"Monterrey, Nuevo León",N/A,1996
Aglon,No match found,,,,,,,
Agnieszka Sylwanowicz,No match found,,,,,,,
Agtarond,No match found,,,,,,,
Aha,No match found,,,,,,,
Ai-mênu,No match found,,,,,,,
Aia,No match found,,,,,,,
Aia María,No match found,,,,,,,
Aica,No match found,,,,,,,
Aicanaro,No match found,,,,,,,
Aicasse,No match found,,,,,,,
Aiglos,No match found,,,,,,,
Aigos,No match found,,,,,,,
Aika,No match found,,,,,,,
Aikaldamor,No match found,,,,,,,
Aikanaro,No match found,,,,,,,
Aikasse,No match found,,,,,,,
Ailin,No match found,,,,,,,
Ailinel,No match found,,,,,,,
Ailinone,No match found,,,,,,,
Ailinoni,No match found,,,,,,,
Ailior,No match found,,,,,,,
Ailios,No match found,,,,,,,
Ailuvin,No match found,,,,,,,
Ailwing,No match found,,,,,,,
Ainairos,No match found,,,,,,,
Ainatar,No match found,,,,,,,
Aini,No match found,,,,,,,
Ainu,Ainu,https://www.metal-archives.com/bands/Ainu/3540547051,Sludge/Post-Metal,N/A,Italy,"Genoa, Ligury",N/A,2021
Ainulindale,No match found,,,,,,,
Ainur,Ainur,https://www.metal-archives.com/bands/Ainur/3540307961,Black Metal,Occultism,Brazil,"Rio de Janeiro, Rio de Janeiro",N/A,2006
Ainur,Ainur,https://www.metal-archives.com/bands/Ainur/3540314971,Power/Progressive Metal,"Fantasy, Tales, Inner struggles",Colombia,"Bucaramanga, Santander",N/A,2005
Ainurarda,No match found,,,,,,,
Ainursee,No match found,,,,,,,
Aioi,No match found,,,,,,,
Aipen,No match found,,,,,,,
Airefëa,No match found,,,,,,,
Airi,No match found,,,,,,,
Airin,No match found,,,,,,,
Airë Tári,No match found,,,,,,,
Aival,No match found,,,,,,,
Aivrin,No match found,,,,,,,
Aiwala,No match found,,,,,,,
Aiwendil,No match found,,,,,,,
Aiwenórë,No match found,,,,,,,
Aiwl,No match found,,,,,,,
Aiya,No match found,,,,,,,
Akairis,No match found,,,,,,,
Akaldamor,No match found,,,,,,,
Akallabeth,Akallabeth,https://www.metal-archives.com/bands/Akallabeth/116171,Melodic Death/Heavy Metal,N/A,Poland,"Gorlice, Lesser Poland",N/A,1993
Akallabeth,Akallabeth,https://www.metal-archives.com/bands/Akallabeth/48428,Gothic/Doom Metal,N/A,United States,"Baltimore, Maryland",N/A,2004
Ake Jonsson,No match found,,,,,,,
Ake Ohlmarks,No match found,,,,,,,
Aksa,No match found,,,,,,,
Alag,No match found,,,,,,,
Alaire,No match found,,,,,,,
Alak,No match found,,,,,,,
Alalbinórë,No match found,,,,,,,
Alalminor,No match found,,,,,,,
Alalvinórë,No match found,,,,,,,
Alandri,No match found,,,,,,,
Alanessë,No match found,,,,,,,
Alata,No match found,,,,,,,
Alatairë,No match found,,,,,,,
Alatar,Alatar,https://www.metal-archives.com/bands/Alatar/3540548922,Heavy Metal,N/A,Germany,"Berlin / Remscheid, North Rhine-Westphalia",N/A,2023
Alatariel,No match found,,,,,,,
Albarim,No match found,,,,,,,
Albarth,No match found,,,,,,,
Alboin,No match found,,,,,,,
Alcar,No match found,,,,,,,
Alcarin,No match found,,,,,,,
Alcarinque,No match found,,,,,,,
Alcarondas,No match found,,,,,,,
Alda,Alda,https://www.metal-archives.com/bands/Alda/3540283771,Atmospheric Black Metal,"Nature, Atavistic reclamation of the world",United States,"Tacoma, Washington",N/A,2007
Aldalome,No match found,,,,,,,
Aldamir,No match found,,,,,,,
Aldar,No match found,,,,,,,
Aldarion,No match found,,,,,,,
Aldaron,Aldaron,https://www.metal-archives.com/bands/Aldaron/61896,Doom/Gothic/Heavy Metal,N/A,Poland,"Jelenia Góra, Lower Silesia",N/A,1997
Aldburg,No match found,,,,,,,
Aldea,No match found,,,,,,,
Alders,No match found,,,,,,,
Aldor,No match found,,,,,,,
Aldred Cartwright,No match found,,,,,,,
Aldudenie,No match found,,,,,,,
Alduya,No match found,,,,,,,
Alfirin,No match found,,,,,,,
